Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Christian McCaffrey,SFO,RB,27,16,16,83,67,0,0,0,1459,14,272,564,7,324,0,3,2
CeeDee Lamb,DAL,WR,24,17,17,181,135,0,0,0,113,2,14,1749,12,268,0,3,2
Josh Allen,BUF,QB,27,17,17,0,0,4306,29,579,524,15,111,0,0,393,18,7,4
Tyreek Hill,MIA,WR,29,16,16,171,119,0,0,0,15,0,6,1799,13,257,0,1,1
Jalen Hurts,PHI,QB,25,17,17,0,0,3858,23,538,605,15,157,0,0,357,15,9,5
Raheem Mostert,MIA,RB,31,15,15,32,25,0,0,0,1012,18,209,175,3,243,0,4,1
Amon-Ra St. Brown,DET,WR,24,16,16,164,119,0,0,0,24,0,4,1515,10,212,0,1,1
Dak Prescott,DAL,QB,30,17,17,0,0,4516,36,590,242,2,55,0,0,343,9,4,2
Mike Evans,TAM,WR,30,17,17,136,79,0,0,0,0,0,0,1255,13,204,0,0,0
Lamar Jackson,BAL,QB,26,16,16,0,0,3678,24,457,821,5,148,0,0,331,7,11,6
Sam LaPorta,DET,TE,22,17,14,120,86,0,0,0,4,0,1,889,10,153,0,0,0
Travis Etienne,JAX,RB,24,17,17,73,58,0,0,0,1008,11,267,476,1,224,0,0,0
Kyren Williams,LAR,RB,23,12,11,48,32,0,0,0,1144,12,228,206,3,223,0,3,2
Puka Nacua,LAR,WR,22,17,17,160,105,0,0,0,89,0,12,1486,6,194,0,1,0
D.J. Moore,CHI,WR,26,17,17,136,96,0,0,0,21,1,4,1364,8,191,0,1,1
Derrick Henry,TEN,RB,29,17,17,36,28,14,2,3,1167,12,280,214,0,219,0,0,0
Joe Mixon,CIN,RB,27,17,17,64,52,0,0,0,1034,9,257,376,3,215,0,0,0
Jordan Love,GNB,QB,25,17,17,0,0,4159,32,579,247,4,50,0,0,319,11,9,3
Breece Hall,NYJ,RB,22,17,16,95,76,0,0,0,994,5,223,591,4,215,0,2,0
A.J. Brown,PHI,WR,26,17,17,158,106,0,0,0,0,0,0,1456,7,184,0,2,2
Deebo Samuel,SFO,WR,27,15,15,89,60,0,0,1,225,5,37,892,7,184,0,1,0
George Kittle,SFO,TE,30,16,16,90,65,0,0,0,2,0,1,1020,6,138,0,0,0
Nico Collins,HOU,WR,24,15,10,109,80,0,0,0,7,0,1,1297,8,180,0,1,0
Rachaad White,TAM,RB,24,17,17,70,64,0,0,0,990,6,272,549,3,204,0,3,2
Brandon Aiyuk,SFO,WR,25,16,16,105,75,0,0,0,0,0,0,1342,7,174,0,1,1
Travis Kelce,KAN,TE,34,15,15,121,93,0,0,0,0,0,0,984,5,126,0,1,1
Keenan Allen,LAC,WR,31,13,13,150,108,49,1,2,6,0,2,1243,7,171,0,2,1
T.J. Hockenson,MIN,TE,26,15,11,127,95,0,0,0,0,0,0,960,5,124,0,1,1
Stefon Diggs,BUF,WR,30,17,17,160,107,0,0,0,5,0,1,1183,8,167,0,2,1
David Njoku,CLE,TE,27,16,16,123,81,0,0,0,0,0,0,882,6,120,0,2,2
Brock Purdy,SFO,QB,24,16,16,0,0,4280,31,444,144,2,39,0,0,296,11,6,2
David Montgomery,DET,RB,26,14,14,24,16,0,0,0,1015,13,219,117,0,191,0,2,1
Ja'Marr Chase,CIN,WR,23,16,16,145,100,-7,0,1,-6,0,3,1216,7,163,0,1,0
Davante Adams,LVR,WR,31,17,17,175,103,0,0,0,0,0,0,1144,8,162,0,0,0
Jahmyr Gibbs,DET,RB,21,15,3,71,52,0,0,0,945,10,182,316,1,190,0,2,1
Evan Engram,JAX,TE,29,17,15,143,114,0,0,0,0,0,0,963,4,116,0,3,2
James Cook,BUF,RB,24,17,13,54,44,0,0,0,1122,2,237,445,4,189,0,4,2
Bijan Robinson,ATL,RB,21,17,16,86,58,0,0,0,976,4,214,487,4,188,0,4,3
D.K. Metcalf,SEA,WR,26,16,16,119,66,0,0,0,0,0,0,1114,8,159,0,0,0
Jared Goff,DET,QB,29,17,17,0,0,4575,30,605,21,2,32,0,0,289,12,6,4
Taysom Hill,NOR,TE,33,16,7,40,33,83,1,11,401,4,81,291,2,111,0,1,1
Amari Cooper,CLE,WR,29,15,15,128,72,0,0,0,0,0,0,1250,5,155,0,2,1
Saquon Barkley,NYG,RB,26,14,14,60,41,0,0,0,962,6,247,280,4,182,0,2,2
Calvin Ridley,JAX,WR,29,17,17,136,76,0,0,0,23,0,9,1016,8,154,0,1,0
Jayden Reed,GNB,WR,23,16,13,94,64,0,0,0,119,2,11,793,8,153,0,2,0
Cole Kmet,CHI,TE,24,17,17,90,73,0,0,0,2,0,3,719,6,108,0,1,0
Jordan Addison,MIN,WR,21,17,14,108,70,0,0,0,2,0,1,911,10,151,0,0,0
Jake Ferguson,DAL,TE,24,17,16,102,71,0,0,0,0,0,0,761,5,106,0,0,0
DeAndre Hopkins,TEN,WR,31,17,16,137,75,0,0,1,9,0,2,1057,7,149,0,0,0
Patrick Mahomes,KAN,QB,28,16,16,0,0,4183,27,597,389,0,75,0,0,280,14,5,3
Jakobi Meyers,LVR,WR,27,16,16,106,71,12,1,3,24,2,4,807,8,148,0,0,0
James Conner,ARI,RB,28,13,13,33,27,0,0,0,1040,7,208,165,2,175,0,0,0
Gus Edwards,BAL,RB,28,17,9,13,12,0,0,0,810,13,198,180,0,175,0,3,2
DeVonta Smith,PHI,WR,25,16,16,112,81,0,0,0,0,0,0,1066,7,147,0,1,1
George Pickens,PIT,WR,22,17,16,106,63,0,0,0,18,0,3,1140,5,146,0,3,0
Trey McBride,ARI,TE,24,17,12,106,81,0,0,0,0,0,0,825,3,101,0,1,0
Chris Olave,NOR,WR,23,16,11,138,87,0,0,0,0,0,0,1123,5,144,0,0,0
C.J. Stroud,HOU,QB,22,15,15,1,1,4108,23,499,167,3,39,0,0,275,5,8,4
Kenneth Walker III,SEA,RB,23,15,15,37,29,0,0,0,905,8,219,259,1,170,0,1,0
Baker Mayfield,TAM,QB,28,17,17,0,0,4044,28,566,163,1,62,0,0,274,10,8,3
Isiah Pacheco,KAN,RB,24,14,13,49,44,0,0,0,935,7,205,244,2,170,0,1,1
Michael Pittman Jr.,IND,WR,26,16,15,156,109,0,0,0,0,0,0,1152,4,141,0,2,1
Tony Pollard,DAL,RB,26,17,17,67,55,0,0,0,1005,6,252,311,0,168,0,3,1
Jerome Ford,CLE,RB,24,17,12,63,44,0,0,0,813,4,204,319,5,167,0,1,1
Najee Harris,PIT,RB,25,17,17,38,29,0,0,0,1035,8,255,170,0,167,0,2,1
Tua Tagovailoa,MIA,QB,25,17,17,0,0,4624,29,560,74,0,35,0,0,270,14,13,5
Dalton Schultz,HOU,TE,27,15,8,88,59,0,0,0,0,0,0,635,5,92,0,1,1
Mark Andrews,BAL,TE,28,10,9,61,45,0,0,0,0,0,1,544,6,90,0,1,0
De'Von Achane,MIA,RB,22,11,4,37,27,0,0,0,800,8,103,197,3,164,0,1,1
Justin Jefferson,MIN,WR,24,10,9,100,68,0,0,1,-12,0,1,1074,5,134,0,1,1
Brian Robinson Jr.,WAS,RB,24,15,15,43,36,0,0,0,733,5,178,368,4,162,0,4,2
Rashee Rice,KAN,WR,23,16,8,102,79,0,0,0,-3,0,1,938,7,134,0,2,1
D'Andre Swift,PHI,RB,24,16,15,49,39,0,0,0,1049,5,229,214,1,160,0,3,1
Courtland Sutton,DEN,WR,28,16,14,90,59,0,0,0,0,0,0,772,10,131,0,3,3
Terry McLaurin,WAS,WR,28,17,17,132,79,0,0,0,0,0,0,1002,4,130,0,0,0
Trevor Lawrence,JAX,QB,24,16,16,0,0,4016,21,564,339,4,70,0,0,263,14,12,7
Sam Howell,WAS,QB,23,17,17,1,1,3946,21,612,263,5,48,4,0,257,21,4,2
Russell Wilson,DEN,QB,35,15,15,0,0,3070,26,447,341,3,80,0,0,257,8,10,5
Matthew Stafford,LAR,QB,35,15,15,0,0,3965,24,521,65,0,21,0,0,243,11,0,0
Derek Carr,NOR,QB,32,17,17,0,0,3878,25,548,40,0,32,0,0,241,8,7,3
Justin Herbert,LAC,QB,25,13,13,1,1,3134,20,456,228,3,52,10,0,233,7,4,1
Justin Fields,CHI,QB,24,13,13,0,0,2562,16,370,657,4,124,0,0,230,9,10,4
Geno Smith,SEA,QB,33,15,15,1,1,3624,20,499,155,1,37,-2,0,226,9,5,3
Joshua Dobbs,2TM,QB,28,13,12,0,0,2464,13,417,421,6,77,0,0,201,10,14,7
Gardner Minshew II,IND,QB,27,17,13,0,0,3305,15,490,100,3,34,0,0,196,9,8,5
Desmond Ridder,ATL,QB,24,15,13,1,1,2836,12,388,193,5,53,-6,0,176,12,12,7
Alvin Kamara,NOR,RB,28,13,12,86,75,0,0,0,694,5,180,466,1,158,0,0,0
Bryce Young,CAR,QB,22,16,16,0,0,2877,11,527,253,0,39,0,0,156,10,11,6
Kirk Cousins,MIN,QB,35,8,8,0,0,2331,18,311,25,0,14,0,0,150,5,7,4
Joe Burrow,CIN,QB,27,10,10,0,0,2309,15,365,88,0,31,0,0,147,6,2,1
Kyler Murray,ARI,QB,26,8,8,0,0,1799,10,268,244,3,44,0,0,146,5,7,0
Chuba Hubbard,CAR,RB,24,17,12,44,39,0,0,0,902,5,238,233,0,144,0,1,0
Josh Jacobs,LVR,RB,25,13,13,54,37,0,0,0,805,6,233,296,0,144,0,3,1
Jake Browning,CIN,QB,27,9,7,1,1,1936,12,243,127,3,27,-7,0,143,7,3,0
Zack Moss,IND,RB,26,14,8,37,27,0,0,0,794,5,183,192,2,143,0,0,0
Devin Singletary,HOU,RB,26,17,10,38,30,6,1,1,898,4,216,193,0,137,0,1,0
Jonathan Taylor,IND,RB,24,10,7,23,19,0,0,0,741,7,169,153,1,137,0,1,0
Jaylen Warren,PIT,RB,25,17,0,74,61,0,0,0,784,4,149,370,0,135,0,4,2
Austin Ekeler,LAC,RB,28,14,14,74,51,0,0,0,628,5,179,436,1,134,0,5,4
Javonte Williams,DEN,RB,23,16,13,58,47,0,0,0,774,3,217,228,2,132,0,1,1
Zay Flowers,BAL,WR,23,16,16,108,77,0,0,0,56,1,8,858,5,129,0,0,0
Adam Thielen,CAR,WR,33,17,17,137,103,0,0,0,6,0,1,1014,4,128,0,2,0
Jaylen Waddle,MIA,WR,25,14,14,104,72,0,0,0,12,0,3,1014,4,127,0,0,0
Chris Godwin,TAM,WR,27,17,17,130,83,0,0,1,38,1,4,1024,2,126,0,0,0
Aidan O'Connell,LVR,QB,25,11,10,0,0,2218,12,343,11,1,17,0,0,126,7,4,2
Ezekiel Elliott,NWE,RB,28,17,5,65,51,0,0,0,642,3,184,313,2,124,0,2,1
Tyler Lockett,SEA,WR,31,17,17,122,79,0,0,0,0,0,0,894,5,123,0,0,0
Tyler Allgeier,ATL,RB,23,17,3,23,18,0,0,0,683,4,186,193,1,120,0,0,0
Zach Wilson,NYJ,QB,24,12,11,0,0,2271,8,368,211,0,36,0,0,120,7,11,7
Brandin Cooks,DAL,WR,30,16,15,81,54,0,0,0,35,0,5,657,8,119,0,1,0
Tank Dell,HOU,WR,24,11,8,75,47,0,0,0,51,0,11,709,7,118,0,1,0
Garrett Wilson,NYJ,WR,23,17,17,168,95,0,0,1,0,0,4,1042,3,118,0,2,2
Gabriel Davis,BUF,WR,24,17,17,81,45,0,0,0,-2,0,1,746,7,116,0,1,1
Romeo Doubs,GNB,WR,23,17,16,96,59,0,0,0,0,0,0,674,8,115,0,1,0
Kenny Pickett,PIT,QB,25,12,12,0,0,2070,6,324,54,1,42,0,0,110,4,2,0
Rashid Shaheed,NOR,WR,25,15,8,75,46,0,0,0,37,0,7,719,5,110,0,1,1
Rhamondre Stevenson,NWE,RB,25,12,12,51,38,0,0,0,619,4,156,238,0,108,0,1,1
Mac Jones,NWE,QB,25,11,11,0,0,2120,10,345,96,0,26,0,0,106,12,3,2
Aaron Jones,GNB,RB,29,11,11,43,30,0,0,0,656,2,142,233,1,105,0,2,1
Cooper Kupp,LAR,WR,30,12,12,95,59,0,0,0,-3,0,1,737,5,105,0,0,0
Drake London,ATL,WR,22,16,16,110,69,22,0,1,0,0,0,905,2,105,0,0,0
Kareem Hunt,CLE,RB,28,15,2,21,15,0,0,0,411,9,135,84,0,104,0,0,0
Alexander Mattison,MIN,RB,25,16,13,44,30,0,0,0,700,0,180,192,3,103,0,3,2
Diontae Johnson,PIT,WR,27,13,11,87,51,0,0,0,0,0,0,717,5,102,0,1,0
Will Levis,TEN,QB,24,9,9,0,0,1808,8,255,57,1,25,0,0,102,4,7,4
Tyjae Spears,TEN,RB,22,17,1,70,52,0,0,0,453,2,100,385,1,102,0,1,0
Joe Flacco,CLE,QB,38,5,5,0,0,1616,13,204,2,0,9,0,0,101,8,4,1
Darius Slayton,NYG,WR,26,17,13,79,50,0,0,0,0,0,0,770,4,101,0,0,0
AJ Dillon,GNB,RB,25,15,6,28,22,0,0,0,613,2,178,223,0,96,0,0,0
Tee Higgins,CIN,WR,24,12,11,76,42,0,0,0,0,0,0,656,5,96,0,0,0
Curtis Samuel,WAS,WR,27,16,13,91,62,0,0,0,39,1,7,613,4,95,0,0,0
Tommy DeVito,NYG,QB,25,9,6,0,0,1101,8,178,195,1,36,0,0,94,3,2,1
Khalil Herbert,CHI,RB,25,12,9,31,20,0,0,0,611,2,132,134,1,93,0,1,1
Christian Kirk,JAX,WR,27,12,12,85,57,-1,0,2,6,0,1,787,3,93,0,2,2
Josh Downs,IND,WR,22,17,9,98,68,0,0,0,0,0,0,771,2,89,0,0,0
Josh Reynolds,DET,WR,28,17,13,64,40,0,0,0,0,0,0,608,5,89,0,1,1
Jerry Jeudy,DEN,WR,24,16,11,87,54,0,0,0,0,0,0,758,2,88,0,1,0
Jaxon Smith-Njigba,SEA,WR,21,17,3,93,63,0,0,0,0,0,0,628,4,87,0,0,0
Tyrod Taylor,NYG,QB,34,11,5,0,0,1341,5,180,197,0,38,0,0,87,3,4,0
Deshaun Watson,CLE,QB,28,6,6,0,0,1115,7,171,142,1,26,0,0,87,4,5,2
Marquise Brown,ARI,WR,26,14,14,101,51,0,0,0,23,0,2,574,4,84,0,0,0
Kyle Pitts,ATL,TE,23,17,15,90,53,0,0,0,-4,0,1,667,3,84,0,0,0
DJ Chark,CAR,WR,27,15,11,66,35,0,0,0,0,0,0,525,5,81,0,2,1
Justice Hill,BAL,RB,26,16,5,39,28,0,0,0,387,3,84,206,1,81,0,1,1
Dontayvion Wicks,GNB,WR,22,15,6,58,39,14,0,1,1,0,1,581,4,81,0,3,1
Ty Chandler,MIN,RB,25,17,4,25,21,0,0,0,461,3,102,159,0,80,0,0,0
D'Onta Foreman,CHI,RB,27,9,8,16,11,0,0,0,425,4,109,77,1,80,0,1,0
Ryan Tannehill,TEN,QB,35,10,8,1,0,1616,4,230,74,1,17,0,0,80,7,4,0
Antonio Gibson,WAS,RB,25,16,2,59,48,0,0,0,265,1,65,389,2,79,0,4,2
Tyler Boyd,CIN,WR,29,17,13,98,67,0,0,1,11,0,2,667,2,78,1,0,0
Hunter Henry,NWE,TE,29,14,10,61,42,0,0,0,0,0,0,419,6,78,0,1,0
Dallas Goedert,PHI,TE,28,14,14,83,59,0,0,0,1,0,1,592,3,77,0,0,0
Dalton Kincaid,BUF,TE,24,16,11,91,73,0,0,0,0,0,0,673,2,77,0,1,1
Michael Wilson,ARI,WR,23,13,12,58,38,0,0,0,0,0,0,565,3,77,0,0,0
Jahan Dotson,WAS,WR,23,17,16,83,49,0,0,0,0,0,0,518,4,76,0,0,0
Rico Dowdle,DAL,RB,25,16,0,22,17,0,0,0,361,2,89,144,2,75,0,0,0
Jaleel McLaughlin,DEN,RB,23,17,3,36,31,0,0,0,410,1,76,160,2,75,0,0,0
Khalil Shakir,BUF,WR,23,17,10,45,39,0,0,0,10,0,1,611,2,74,0,1,0
Jonnu Smith,ATL,TE,28,17,6,70,50,0,0,1,0,0,1,582,3,74,0,1,1
Tutu Atwell,LAR,WR,24,16,14,67,39,0,0,0,31,0,5,483,3,73,0,0,0
Odell Beckham Jr.,BAL,WR,31,14,6,64,35,0,0,0,0,0,0,565,3,73,0,1,1
Zach Charbonnet,SEA,RB,22,16,2,40,33,0,0,0,462,1,108,209,0,73,0,0,0
Elijah Moore,CLE,WR,23,17,12,104,59,0,0,0,11,0,9,640,2,73,0,2,2
Anthony Richardson,IND,QB,21,4,4,0,0,577,3,84,136,4,25,0,0,73,1,3,1
Wan'Dale Robinson,NYG,WR,22,15,8,78,60,0,0,0,87,1,9,525,1,73,0,0,0
Christian Watson,GNB,WR,24,9,9,53,28,0,0,0,11,0,4,422,5,73,0,0,0
K.J. Osborn,MIN,WR,26,16,12,75,48,0,0,0,0,0,0,540,3,72,0,1,0
Logan Thomas,WAS,TE,32,16,15,78,55,0,0,0,2,0,1,496,4,72,0,2,2
Isaiah Likely,BAL,TE,23,17,8,40,30,0,0,0,0,0,0,411,5,71,0,0,0
Samaje Perine,DEN,RB,28,17,1,56,50,0,0,0,238,1,53,455,0,71,0,3,2
Cade Otton,TAM,TE,24,17,17,67,47,0,0,0,0,0,0,455,4,70,0,1,1
Dameon Pierce,HOU,RB,23,14,7,17,13,0,0,0,416,2,145,101,0,70,0,0,0
Noah Brown,HOU,WR,27,10,7,55,33,0,0,0,-1,0,1,567,2,69,0,0,0
Josh Palmer,LAC,WR,24,10,6,61,38,0,0,0,6,0,1,581,2,69,0,1,1
Bailey Zappe,NWE,QB,24,10,6,0,0,1272,6,212,83,1,17,0,0,69,9,2,1
Roschon Johnson,CHI,RB,22,15,0,40,34,0,0,0,352,2,81,209,0,68,0,1,0
Easton Stick,LAC,QB,28,5,4,0,0,1129,3,174,144,1,27,0,0,68,1,5,4
Kenneth Gainwell,PHI,RB,24,16,2,37,30,17,0,1,364,2,84,183,0,67,0,3,1
Nick Mullens,MIN,QB,28,5,3,0,0,1306,7,148,25,0,10,0,0,67,8,2,0
Taylor Heinicke,ATL,QB,30,5,4,0,0,890,5,136,124,1,15,0,0,66,4,1,0
Latavius Murray,BUF,RB,33,16,4,22,17,0,0,0,300,4,79,119,0,66,0,1,0
Rondale Moore,ARI,WR,23,17,8,62,40,0,0,0,178,1,28,352,1,65,0,1,0
Jimmy Garoppolo,LVR,QB,32,7,6,0,0,1205,7,169,39,0,20,0,0,64,9,1,0
Kendrick Bourne,NWE,WR,28,8,5,55,37,0,0,0,4,0,1,406,4,63,0,1,1
Alec Pierce,IND,WR,23,17,16,65,32,0,0,0,0,0,0,514,2,63,0,0,0
Nelson Agholor,BAL,WR,30,17,3,45,35,0,0,0,0,0,0,381,4,62,0,1,0
Tyler Conklin,NYJ,TE,28,17,12,87,61,0,0,0,0,0,1,621,0,62,0,0,0
Tyler Higbee,LAR,TE,30,15,15,70,47,0,0,0,0,0,0,495,2,62,0,0,0
Kalif Raymond,DET,WR,29,17,3,44,35,0,0,0,75,0,7,489,1,62,0,1,0
Justin Watson,KAN,WR,27,16,8,53,27,0,0,0,0,0,0,460,3,62,0,1,1
Juwan Johnson,NOR,TE,27,13,11,59,37,0,0,0,0,0,0,368,4,61,0,0,0
Keaton Mitchell,BAL,RB,21,8,2,11,9,0,0,0,396,2,47,93,0,61,0,0,0
Demarcus Robinson,LAR,WR,29,16,4,39,26,0,0,0,23,0,1,371,4,61,0,2,1
Miles Sanders,CAR,RB,26,16,5,41,27,0,0,0,432,1,129,154,0,61,0,2,2
